CLK| ON | Rin | Gin | Bin | Bin | Length In ||| Rout | Gout | Bout | BC | Length    | POUT | PWARN |
---+----+-----+-----+-----+-----+-----------+++------+------+------+----+-----------+------+-------+
 x |  x |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   x  | x     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   0  | 1     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   0  |   0  |   0  |  0 | 0. 0 m    |   0  | 1     |
Lightsaber on, recharging...
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  44  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  45  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  46  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  47  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  48  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  49  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  50  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  51  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  52  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  53  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  54  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  55  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  56  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  57  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  58  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  59  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  60  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  61  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  62  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  63  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  64  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  65  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  66  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  67  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  68  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  69  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  70  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  71  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  72  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  73  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  74  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  75  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  76  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  77  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  78  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  79  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  80  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  81  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  82  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  83  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  84  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  85  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  86  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  87  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  88  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  89  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  90  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  91  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  92  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  93  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  94  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  95  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  96  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  97  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  98  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  99  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 100  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 101  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 102  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 103  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 104  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 105  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 106  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 107  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 108  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 109  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 110  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 111  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 112  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 113  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 114  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 115  | 0     |
